post_id,source,target,tipo_interacao,data
85342,137201,85342,repost,20231030
33159,64916,33159,repost,20230720
145288,5568,145288,repost,20230828
194275,553559,194275,repost,20240229
684979,65941,684979,repost,20240110
898335,91002,898335,repost,20240213
1331890,28596,1331890,repost,20240125
31603,165916,31603,repost,20231104
306601,21547,306601,repost,20231217
62621,129402,62621,repost,20240307
462195,3833,462195,repost,20240114
12386,155036,12386,repost,20240213
213117,1853,213117,repost,20231015
689080,200760,689080,repost,20240129
1057639,17982,1057639,repost,20230814
65937,1250,65937,repost,20230625
627653,19779,627653,repost,20231002
46120,220508,46120,repost,20230630
83096,81326,83096,repost,20231023
190367,81031,190367,repost,20231022
516093,2029,516093,repost,20240204
104988,101059,104988,repost,20231222
530771,30264,530771,repost,20231215
418727,16048,418727,repost,20240112
49153,99159,49153,repost,20231120
4138,4133,4138,repost,20230925
107234,68897,107234,repost,20230713
1008840,36449,1008840,repost,20231102
66970,14748,66970,repost,20231015
2528708,3091,2528708,repost,20231110
236094,27268,236094,repost,20231001
30686,1099508,30686,repost,20230701
42443,163843,42443,repost,20230925
79683,1931,79683,repost,20231012
150512,1177,150512,repost,20231218
347355,3060,347355,repost,20240224
346085,33408,346085,repost,20231001
70705,36751,70705,repost,20230830
9591,150034,9591,repost,20240307
13142,20138,13142,repost,20231005
285041,473623,285041,repost,20230919
189758,238924,189758,repost,20230917
230379,350514,230379,repost,20240306
460521,221207,460521,repost,20230920
65232,12283,65232,repost,20240209
217590,80238,217590,repost,20230913
28991,72727,28991,repost,20240211
331799,414389,331799,repost,20240209
87923,52067,87923,repost,20231027
530843,1026450,530843,repost,20231211
232061,7947,232061,repost,20230805
530644,144734,530644,repost,20231004
13180,272917,13180,repost,20231017
884210,1197,884210,repost,20231102
32303,66768,32303,repost,20240130
87935,537770,87935,repost,20240310
359055,135834,359055,repost,20240211
119642,34200,119642,repost,20240203
305406,38059,305406,repost,20231010
217881,85412,217881,repost,20231021
530828,939056,530828,repost,20230926
687303,34499,687303,repost,20230928
781200,218039,781200,repost,20231011
699594,73830,699594,repost,20231027
191323,593124,191323,repost,20230806
450203,64833,450203,repost,20240108
541699,9414,541699,repost,20231230
113422,69576,113422,repost,20240209
46297,140176,46297,repost,20230801
536030,76233,536030,repost,20231031
977513,27268,977513,repost,20240121
152712,153178,152712,repost,20240315
990140,222134,990140,repost,20230727
50091,2039,50091,repost,20231104
34184,6523,34184,repost,20230430
291759,36600,291759,repost,20230828
1756466,1588,1756466,repost,20240116
1982959,319650,1982959,repost,20240315
574296,71028,574296,repost,20231003
1408774,23158,1408774,repost,20230830
107989,7345,107989,repost,20231130
85274,697207,85274,repost,20240215
282036,163459,282036,repost,20231218
24186,1454927,24186,repost,20231015
144112,27023,144112,repost,20231119
33188,50550,33188,repost,20231008
1396122,2483,1396122,repost,20231116
215884,206860,215884,repost,20240106
735437,583687,735437,repost,20240225
463571,121,463571,repost,20240216
279906,4086,279906,repost,20230727
335749,270472,335749,repost,20230824
247509,3359,247509,repost,20240126
523862,436825,523862,repost,20231006
269593,3837,269593,repost,20240222
675153,553,675153,repost,20231122
936925,1636,936925,repost,20231023
27521,399,27521,repost,20231117
315300,33189,315300,repost,20230624
1478316,36388,1478316,repost,20240316
1174855,190370,1174855,repost,20231204
704879,90030,704879,repost,20240119
162362,117382,162362,repost,20231011
53427,1401029,53427,repost,20230923
1179514,27,1179514,repost,20230904
447419,9764,447419,repost,20231121
120760,891,120760,repost,20240308
1830619,44407,1830619,repost,20231013
531275,2640,531275,repost,20240302
1515801,133,1515801,repost,20231012
1442673,3893,1442673,repost,20231028
106716,14353,106716,repost,20231105
182200,182196,182200,repost,20231218
855878,167793,855878,repost,20231018
41519,52062,41519,repost,20240209
841857,26270,841857,repost,20230904
304734,3045,304734,repost,20231115
349209,86984,349209,repost,20240215
84433,104784,84433,repost,20230528
358870,380078,358870,repost,20240218
385482,263770,385482,repost,20240312
699302,15493,699302,repost,20230805
33392,72,33392,repost,20231108
229787,14330,229787,repost,20230902
172477,695638,172477,repost,20230829
452051,78,452051,repost,20230928
173951,18365,173951,repost,20231218
185909,510073,185909,repost,20231025
421785,159211,421785,repost,20230926
270657,169224,270657,repost,20231221
50751,338066,50751,repost,20240211
52187,49272,52187,repost,20240306
2374916,24112,2374916,repost,20231020
62113,34494,62113,repost,20230821
30779,54425,30779,repost,20240104
157503,8623,157503,repost,20231224
181502,19470,181502,repost,20231009
407461,88313,407461,repost,20230829
1467966,632,1467966,repost,20230930
212109,133619,212109,repost,20231123
146344,6811,146344,repost,20231011
788130,1279,788130,repost,20231105
1902535,40401,1902535,repost,20240301
276249,2481,276249,repost,20231001
29941,26198,29941,repost,20231228
606746,3177,606746,repost,20240227
349204,6636,349204,repost,20240227
90887,45872,90887,repost,20231123
33719,83482,33719,repost,20240119
160313,84399,160313,repost,20230904
144807,158977,144807,repost,20240205
228495,175160,228495,repost,20231223
364236,2145,364236,repost,20231029
853941,228170,853941,repost,20231023
87429,134885,87429,repost,20231020
102245,47180,102245,repost,20231124
958945,356737,958945,repost,20240229
148623,104735,148623,repost,20240316
18896,39918,18896,repost,20231223
528928,1222,528928,repost,20231012
1923625,169780,1923625,repost,20230421
411647,30813,411647,repost,20240116
12947,29695,12947,repost,20240301
84433,189321,84433,repost,20230808
1005028,1248,1005028,repost,20231218
2016070,155567,2016070,repost,20231115
660,26564,660,repost,20240208
182399,49168,182399,repost,20231202
55316,76303,55316,repost,20230515
292519,263821,292519,repost,20240117
738807,754853,738807,repost,20231115
403202,428,403202,repost,20230706
188812,27216,188812,repost,20230829
508055,459746,508055,repost,20240122
696936,343084,696936,repost,20231017
26044,4983,26044,repost,20230802
738847,12543,738847,repost,20230824
106913,183515,106913,repost,20231208
737079,620398,737079,repost,20240226
971832,483827,971832,repost,20240314
61431,61334,61431,repost,20240318
420876,1194,420876,repost,20240125
853783,507692,853783,repost,20240213
30081,232493,30081,repost,20231212
1898604,9208,1898604,repost,20231023
292594,30604,292594,repost,20231016
1897587,26595,1897587,repost,20240207
343753,3858,343753,repost,20230921
479092,259795,479092,repost,20240110
351500,41043,351500,repost,20231008
52080,31193,52080,repost,20240221
55430,10782,55430,repost,20231229
221146,31137,221146,repost,20230824
131175,64830,131175,repost,20240204
14901,71205,14901,repost,20240311
9958,9902,9958,repost,20230919
1276504,190371,1276504,repost,20240224
14756,14121,14756,repost,20231111
494358,556,494358,repost,20231017
1075199,1707670,1075199,repost,20240224
1593497,179651,1593497,repost,20240220
66617,2481,66617,repost,20240216
29558,62951,29558,repost,20240303
301420,47115,301420,repost,20231203
723161,419540,723161,repost,20240205
209674,6528,209674,repost,20240209
1074414,23121,1074414,repost,20230820
1036274,47212,1036274,repost,20230905
296755,30598,296755,repost,20230814
1498544,24781,1498544,repost,20240101
161280,40218,161280,repost,20230901
1646250,866,1646250,repost,20240215
668062,605478,668062,repost,20240306
52864,83236,52864,repost,20231009
2010011,164796,2010011,repost,20240225
6837,3050,6837,repost,20231219
1103103,144576,1103103,repost,20240217
438487,4100153,438487,repost,20231207
1073097,7299,1073097,repost,20230429
1490310,134651,1490310,repost,20231118
592239,133918,592239,repost,20231013
484920,2010,484920,repost,20240308
1433035,40401,1433035,repost,20230927
302729,133840,302729,repost,20240306
1732723,10943,1732723,repost,20231211
1063641,183718,1063641,repost,20240212
176944,202588,176944,repost,20240216
222088,878721,222088,repost,20240101
189282,90804,189282,repost,20231130
317760,207891,317760,repost,20240127
104305,468382,104305,repost,20230801
706681,2720565,706681,repost,20240225
860454,100711,860454,repost,20240214
195167,195162,195167,repost,20231109
1036853,3021,1036853,repost,20240312
11849,105978,11849,repost,20230910
1365720,956879,1365720,repost,20240104
29132,7336,29132,repost,20230825
889470,24853,889470,repost,20240213
2056,848002,2056,repost,20240203
724420,196556,724420,repost,20240131
221457,41072,221457,repost,20240109
64928,190796,64928,repost,20230910
6406,24112,6406,repost,20230823
70613,179358,70613,repost,20231101
52080,49211,52080,repost,20230910
32801,399,32801,repost,20230510
1208874,291966,1208874,repost,20230930
242782,227539,242782,repost,20240222
530628,1287,530628,repost,20240213
510378,151777,510378,repost,20231114
136326,6732,136326,repost,20230801
53449,86625,53449,repost,20240311
1037291,6519,1037291,repost,20240223
19220,407,19220,repost,20230430
868378,74695,868378,repost,20230831
437826,1230,437826,repost,20231213
3774154,4096,3774154,repost,20240225
52062,88305,52062,repost,20230929
